TLD,Domain_Age,special_char,HasSubmitButton,HasPasswordField,NoOfiFrame,NoOfJS,IsHTTPS,URLLength,HasTitle,HasObfuscation,NoOfURLRedirect,URLTitleMatchScore,label
io,9,2,1,1,0,6,1,91,1,0,1,2.53164557,0
uk,13,0,1,0,0,7,1,29,1,0,0,46.66666667,1
com,1,0,0,0,0,0,1,32,1,0,0,100,0
com,17,0,1,0,12,15,1,26,1,0,0,0,1
org,4,0,1,0,2,34,1,33,1,0,1,100,1
org,25,0,0,0,1,11,1,30,1,0,0,0,1
com,24,0,0,0,4,14,1,25,1,0,1,0,1
com,16,0,1,0,1,22,1,25,1,0,0,100,1
in,19,0,1,1,0,9,1,29,1,0,0,100,1
org,29,0,0,0,2,12,1,18,1,0,0,0,1
com,16,0,1,0,5,10,1,33,1,0,0,55.55555556,1
org,28,0,1,1,1,13,1,27,1,0,0,50,1
com,21,0,0,0,5,7,1,20,1,0,0,0,1
com,23,0,1,0,2,22,1,26,1,0,0,100,1
com,3,0,1,0,0,19,1,24,1,0,0,0,1
com,13,0,1,1,21,33,1,21,1,0,0,0,1
in,17,0,0,0,0,2,1,22,1,0,0,80,1
com,10,0,0,0,2,4,1,28,1,0,0,0,1
com,17,0,0,0,0,4,1,25,1,0,0,100,1
guru,10,0,0,0,2,6,1,36,1,0,0,100,1
com,20,0,0,0,1,29,1,21,1,0,0,100,1
com,4,0,1,0,1,28,1,31,1,0,0,0,1
com,11,0,0,0,0,0,0,40,1,0,1,0,0
com,13,0,0,1,0,17,1,24,1,0,1,0,1
uk,10,0,1,1,20,20,1,23,1,0,0,0,1
com,16,0,1,1,19,20,1,32,1,0,0,0,1
io,8,0,0,0,1,8,1,19,1,0,0,100,1
com,2,0,0,0,0,1,0,27,1,0,0,100,0
com,17,0,1,0,3,24,1,24,1,0,0,100,1
fr,14,0,1,1,0,18,1,29,1,0,0,100,1
com,1,3,0,0,0,0,1,140,1,0,0,100,0
com,3,0,0,0,0,1,1,27,1,0,0,100,1
com,22,0,0,0,0,5,1,24,1,0,0,100,1
today,1,0,0,0,0,0,0,22,0,0,0,0,0
com,22,0,1,1,23,53,1,24,1,0,1,100,1
com,3,0,1,0,10,7,1,25,1,0,0,100,1
com,27,0,1,1,0,50,1,26,1,0,1,100,1
cloud,1,0,1,0,0,0,1,36,1,0,0,95.23809524,0
org,12,0,0,0,0,3,1,21,1,0,0,100,1
